year,avg_temp
1820,9.14
1821,10.29
1822,10.39
1823,10.68
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,10.14
1834,10.24
1835,9.38
1836,9.62
1837,11.58
1838,14.02
1839,
1840,10.00
1841,9.83
1842,10.24
1843,10.33
1844,10.03
1845,9.96
1846,10.55
1847,10.19
1848,9.84
1849,10.01
1850,10.12
1851,10.19
1852,10.08
1853,10.42
1854,10.44
1855,10.28
1856,9.97
1857,10.00
1858,10.26
1859,10.49
1860,9.92
1861,9.96
1862,9.42
1863,10.20
1864,9.76
1865,10.39
1866,10.46
1867,9.85
1868,10.46
1869,10.51
1870,10.31
1871,10.48
1872,10.60
1873,10.71
1874,10.45
1875,10.32
1876,10.34
1877,10.14
1878,10.55
1879,10.75
1880,10.17
1881,10.46
1882,10.44
1883,10.02
1884,9.80
1885,9.87
1886,10.16
1887,10.18
1888,10.23
1889,10.51
1890,10.48
1891,10.53
1892,10.41
1893,10.21
1894,10.51
1895,10.22
1896,10.41
1897,10.32
1898,10.56
1899,10.23
1900,10.30
1901,10.52
1902,10.72
1903,10.22
1904,10.33
1905,9.50
1906,10.21
1907,10.43
1908,10.26
1909,10.54
1910,10.27
1911,10.18
1912,10.07
1913,10.06
1914,10.80
1915,10.70
1916,10.39
1917,10.26
1918,10.09
1919,10.92
1920,10.80
1921,10.57
1922,10.97
1923,10.91
1924,10.99
1925,10.43
1926,10.96
1927,10.94
1928,11.28
1929,10.75
1930,10.63
1931,10.85
1932,10.85
1933,11.28
1934,10.66
1935,11.00
1936,10.63
1937,11.34
1938,11.12
1939,11.30
1940,11.04
1941,11.77
1942,11.78
1943,11.30
1944,10.79
1945,11.26
1946,12.02
1947,11.29
1948,11.07
1949,10.91
1950,10.70
1951,10.95
1952,11.07
1953,11.22
1954,10.69
1955,10.66
1956,10.50
1957,10.45
1958,11.00
1959,10.89
1960,10.93
1961,10.87
1962,10.67
1963,10.87
1964,10.85
1965,10.62
1966,11.08
1967,10.50
1968,10.45
1969,11.15
1970,10.67
1971,10.83
1972,10.97
1973,11.21
1974,10.70
1975,10.93
1976,10.23
1977,10.63
1978,10.98
1979,11.08
1980,10.80
1981,10.85
1982,10.45
1983,10.60
1984,10.60
1985,10.60
1986,10.57
1987,11.34
1988,10.88
1989,10.62
1990,11.34
1991,10.72
1992,10.22
1993,10.59
1994,11.16
1995,10.81
1996,10.55
1997,10.76
1998,11.70
1999,11.32
2000,10.82
2001,11.26
2002,11.38
2003,11.35
2004,10.97
2005,11.09
2006,11.84
2007,11.66
2008,11.13
2009,11.62
2010,11.37
2011,11.07
2012,11.16
2013,13.35
